name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1048;0;1072;3153;1409;3153;1315;0
header;205;177;205;212;1837;212;1837;177
A;1078;122;1078;124;1080;124;1080;122
A;1276;741;1276;742;1277;742;1277;741
A;1183;960;1183;961;1184;961;1184;960
A;1224;1169;1224;1177;1231;1177;1231;1169
B;1062;1812;1062;1831;1077;1831;1077;1812
A;1371;1892;1371;1896;1372;1896;1372;1892
B;1352;2163;1352;2182;1365;2182;1365;2163
A;1296;2477;1296;2484;1303;2484;1303;2477
C;1360;2506;1360;2531;1385;2531;1385;2506
C;1361;2540;1361;2566;1387;2566;1387;2540
