name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;321;0;321;3153;1594;3153;1214;0
header;206;208;206;247;1830;247;1830;208
A;831;272;831;274;833;274;833;272
B;738;276;738;304;766;304;766;276
A;1001;278;1001;306;1023;306;1023;278
B;856;757;856;769;863;769;863;757
A;1126;847;1126;858;1133;858;1133;847
B;558;928;558;947;573;947;573;928
B;1004;954;1004;981;1024;981;1024;954
A;1039;967;1039;994;1061;994;1061;967
A;909;1311;909;1323;916;1323;916;1311
A;865;1431;865;1456;887;1456;887;1431
A;1272;1444;1272;1456;1279;1456;1279;1444
A;479;1539;479;1552;486;1552;486;1539
B;622;1622;622;1641;636;1641;636;1622
C;1001;1625;1001;1653;1023;1653;1023;1625
A;778;2065;778;2068;782;2068;782;2065
A;1300;2090;1300;2103;1307;2103;1307;2090
B;623;2275;623;2288;631;2288;631;2275
D;1001;2307;1001;2335;1023;2335;1023;2307
B;804;2311;804;2330;818;2330;818;2311
A;333;2415;333;2427;340;2427;340;2415
B;324;2725;324;2744;337;2744;337;2725
B;708;2726;708;2745;721;2745;721;2726
B;715;2818;715;2837;728;2837;728;2818
B;1351;2833;1351;2846;1358;2846;1358;2833
B;695;2878;695;2893;703;2893;703;2878
A;1052;2962;1052;2962;1052;2962;1052;2962
